LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Unemployment Rate 2015 (%),Unemployment Rate 2016 (%),Unemployment Rate 2017 (%),Unemployment Rate 2018 (%),Unemployment Rate 2019 (%),Pop 2015,Pop 2016,Pop 2017,Pop 2018,Pop 2019,GDP 2015,GDP 2016,GDP 2017,GDP 2018,GDP 2019,,,
CN1309100000000,13,91,"Dodge County, GA",2016,"6,967","6,450",517,8.4,7.3,6.2,5.2,5.4,14034,13853,13691,13709,13390,47313,48367,49623,50327,50816,,,
CN1309300000000,13,93,"Dooly County, GA",2016,"5,010","4,718",292,7.6,5.8,5,4.7,3.8,91513,90389,89457,89200,87956,47313,48367,49623,50327,50816,,,
CN1309500000000,13,95,"Dougherty County, GA",2016,"38,261","35,633","2,628",7.8,6.8,6,5.4,4.7,140173,141664,143376,145024,146343,47313,48367,49623,50327,50816,,,
CN1309700000000,13,97,"Douglas County, GA",2016,"70,359","66,472","3,887",6.4,5.6,4.9,4.1,3.5,10462,10306,10317,10286,10190,47313,48367,49623,50327,50816,,,
CN1309900000000,13,99,"Early County, GA",2016,"4,428","4,119",309,7,6.9,5.4,4.6,3.9,4030,3956,3914,4000,4006,47313,48367,49623,50327,50816,,,
CN1310100000000,13,101,"Echols County, GA",2016,"1,937","1,854",83,4.7,4.3,3.9,3.2,2.8,57076,58699,60086,62228,64296,47313,48367,49623,50327,50816,,,
CN1310300000000,13,103,"Effingham County, GA",2016,"27,904","26,548","1,356",5.1,4.8,4,3.3,2.9,19302,19136,19102,19095,19194,47313,48367,49623,50327,50816,,,
CN1310500000000,13,105,"Elbert County, GA",2016,"7,735","7,229",506,7.5,6.5,5.2,4.8,4,22471,22406,22533,22607,22646,47313,48367,49623,50327,50816,,,
CN1310700000000,13,107,"Emanuel County, GA",2016,"8,468","7,808",660,8.8,7.7,6.6,5.9,5.3,10690,10648,10741,10702,10654,47313,48367,49623,50327,50816,,,
CN1310900000000,13,109,"Evans County, GA",2016,"4,836","4,596",240,5.6,4.9,4.3,3.7,3.4,24442,25032,25332,25981,26188,47313,48367,49623,50327,50816,,,
CN1311100000000,13,111,"Fannin County, GA",2016,"10,745","10,172",573,6.2,5.3,4.8,4,3.3,110141,111218,112553,113181,114421,47313,48367,49623,50327,50816,,,
CN1311300000000,13,113,"Fayette County, GA",2016,"55,982","53,336","2,646",5.2,4.7,4,3.5,3,96186,96698,97500,97964,98498,47313,48367,49623,50327,50816,,,
CN1311500000000,13,115,"Floyd County, GA",2016,"43,531","40,903","2,628",6.7,6,5.2,4.3,3.8,211250,220481,228940,236993,244252,47313,48367,49623,50327,50816,,,
CN1311700000000,13,117,"Forsyth County, GA",2016,"108,078","103,561","4,517",4.6,4.2,3.7,3.2,2.7,22267,22316,22864,23034,23349,47313,48367,49623,50327,50816,,,
CN1311900000000,13,119,"Franklin County, GA",2016,"9,728","9,214",514,6.3,5.2,4.7,3.8,3.5,1005127,1022866,1038938,1050131,1063937,47313,48367,49623,50327,50816,,,
CN1312100000000,13,121,"Fulton County, GA",2016,"531,176","502,655","28,521",6,5.4,4.8,4,3.5,29514,29911,30443,30835,31369,47313,48367,49623,50327,50816,,,
CN1312300000000,13,123,"Gilmer County, GA",2016,"11,880","11,212",668,6.1,5.7,5,4.2,3.5,3020,2978,3032,2977,2971,47313,48367,49623,50327,50816,,,
CN1312500000000,13,125,"Glascock County, GA",2016,"1,275","1,197",78,6.7,6,4.9,4.1,3.7,83311,84099,84675,84975,85292,47313,48367,49623,50327,50816,,,
CN1312700000000,13,127,"Glynn County, GA",2016,"39,072","37,001","2,071",6.1,5.3,4.7,3.7,3.3,56324,56933,57164,57628,57963,47313,48367,49623,50327,50816,,,
CN1312900000000,13,129,"Gordon County, GA",2016,"25,105","23,684","1,421",5.9,5.6,4.6,3.8,3.4,25089,24869,24773,24774,24633,47313,48367,49623,50327,50816,,,
CN1313100000000,13,131,"Grady County, GA",2016,"10,301","9,730",571,6,5.4,4.8,3.8,3.4,16617,16869,17203,17733,18324,47313,48367,49623,50327,50816,,,
CN1313300000000,13,133,"Greene County, GA",2016,"6,910","6,511",399,6.7,6,5.1,4.3,3.9,888494,904962,918186,927337,936250,47313,48367,49623,50327,50816,,,
CN1313500000000,13,135,"Gwinnett County, GA",2016,"467,706","445,565","22,141",5.2,4.8,4.2,3.5,3,43792,44104,44535,45373,45328,47313,48367,49623,50327,50816,,,
CN1313700000000,13,137,"Habersham County, GA",2016,"19,368","18,347","1,021",5.7,5.3,4.5,3.7,3.5,192245,196159,198953,201538,204441,47313,48367,49623,50327,50816,,,
CN1313900000000,13,139,"Hall County, GA",2016,"96,105","91,805","4,300",4.9,4.5,3.9,3.2,2.8,8578,8633,8539,8368,8457,47313,48367,49623,50327,50816,,,
CN1314100000000,13,141,"Hancock County, GA",2016,"2,527","2,314",213,9.8,8.4,7.1,5.9,5.5,28702,28830,29248,29561,29792,47313,48367,49623,50327,50816,,,
CN1314300000000,13,143,"Haralson County, GA",2016,"12,238","11,525",713,6.6,5.8,4.8,3.8,3.3,33155,33633,33943,34560,35236,47313,48367,49623,50327,50816,,,
CN1314500000000,13,145,"Harris County, GA",2016,"15,758","14,977",781,5.3,4.9,4.1,3.4,3.1,25410,25471,25710,26071,26205,47313,48367,49623,50327,50816,,,
CN1314700000000,13,147,"Hart County, GA",2016,"10,913","10,317",596,6.2,5.4,4.4,3.6,3.5,11556,11579,11751,11871,11923,47313,48367,49623,50327,50816,,,
CN1314900000000,13,149,"Heard County, GA",2016,"5,080","4,782",298,6.4,5.9,4.9,3.9,3.3,216414,220896,225182,229728,234561,47313,48367,49623,50327,50816,,,
CN1315100000000,13,151,"Henry County, GA",2016,"108,313","102,363","5,950",6.2,5.5,4.8,4.1,3.5,149323,151622,153202,155523,157863,47313,48367,49623,50327,50816,,,
CN1315300000000,13,153,"Houston County, GA",2016,"67,338","63,727","3,611",5.9,5.3,4.7,4,3.3,9135,9302,9352,9396,9416,47313,48367,49623,50327,50816,,,
CN1315500000000,13,155,"Irwin County, GA",2016,"3,218","2,969",249,8.4,7.8,6.9,5.6,4.7,63418,65061,67644,70325,72977,47313,48367,49623,50327,50816,,,
CN1315700000000,13,157,"Jackson County, GA",2016,"33,204","31,794","1,410",4.9,4.3,3.6,3.1,2.7,13683,13767,13882,14029,14219,47313,48367,49623,50327,50816,,,
CN1315900000000,13,159,"Jasper County, GA",2016,"6,654","6,336",318,5.5,4.8,4.3,3.5,3.1,15013,14965,15039,15048,15115,47313,48367,49623,50327,50816,,,
CN1316100000000,13,161,"Jeff Davis County, GA",2016,"6,239","5,845",394,6.7,6.4,6,4.8,4.6,15917,15755,15630,15424,15362,47313,48367,49623,50327,50816,,,
CN1316300000000,13,163,"Jefferson County, GA",2016,"6,594","6,102",492,9.1,7.4,6.1,5.3,4.7,8899,8812,8813,8765,8676,47313,48367,49623,50327,50816,,,
CN1316500000000,13,165,"Jenkins County, GA",2016,"3,161","2,921",240,8.4,7.5,6.7,5.3,5.1,9708,9660,9737,9706,9643,47313,48367,49623,50327,50816,,,
CN1316700000000,13,167,"Johnson County, GA",2016,"3,949","3,706",243,7,6.1,5,3.9,3.6,28441,28574,28466,28680,28735,47313,48367,49623,50327,50816,,,
CN1316900000000,13,169,"Jones County, GA",2016,"13,692","13,027",665,5.5,4.8,4.3,3.6,3.2,18236,18484,18600,18961,19077,47313,48367,49623,50327,50816,,,
CN1317100000000,13,171,"Lamar County, GA",2016,"7,880","7,366",514,7.7,6.6,5.6,4.6,3.9,10269,10430,10425,10355,10423,47313,48367,49623,50327,50816,,,
CN1317300000000,13,173,"Lanier County, GA",2016,"3,834","3,615",219,6.7,5.8,5.1,4.5,3.9,47486,47279,47376,47336,47546,47313,48367,49623,50327,50816,,,
CN1317500000000,13,175,"Laurens County, GA",2016,"18,964","17,686","1,278",7.6,6.6,5.8,4.8,4.6,29173,29184,29410,29751,29992,47313,48367,49623,50327,50816,,,
CN1317700000000,13,177,"Lee County, GA",2016,"14,328","13,644",684,5.3,4.7,4.1,3.6,3.1,61611,61473,61619,60606,61435,47313,48367,49623,50327,50816,,,
CN1317900000000,13,179,"Liberty County, GA",2016,"25,248","23,792","1,456",6.3,5.8,5.1,4.3,3.7,7722,7855,7856,7925,7921,47313,48367,49623,50327,50816,,,
CN1318100000000,13,181,"Lincoln County, GA",2016,"3,448","3,244",204,6.8,5.9,5.2,4.9,3.9,17658,18372,18780,19091,19559,47313,48367,49623,50327,50816,,,
CN1318300000000,13,183,"Long County, GA",2016,"7,217","6,823",394,5.9,5.4,4.8,3.9,3.6,113342,114360,115404,116309,117406,47313,48367,49623,50327,50816,,,
CN1318500000000,13,185,"Lowndes County, GA",2016,"51,048","48,391","2,657",5.9,5.3,4.6,4.1,3.5,31285,31415,32801,32899,33610,47313,48367,49623,50327,50816,,,
CN1318700000000,13,187,"Lumpkin County, GA",2016,"15,815","15,038",777,5.4,4.8,4.1,3.6,3.1,21462,21456,21511,21532,21312,47313,48367,49623,50327,50816,,,
CN1318900000000,13,189,"McDuffie County, GA",2016,"8,919","8,275",644,8.4,7.3,6.2,5.6,5.1,14031,14057,14080,14322,14378,47313,48367,49623,50327,50816,,,
CN1319100000000,13,191,"McIntosh County, GA",2016,"6,065","5,715",350,6.5,5.8,5,4,3.6,13688,13478,13254,13160,12947,47313,48367,49623,50327,50816,,,
CN1319300000000,13,193,"Macon County, GA",2016,"4,680","4,292",388,9.2,8.3,6.9,6.2,4.6,28419,28856,29295,29642,29880,47313,48367,49623,50327,50816,,,
CN1319500000000,13,195,"Madison County, GA",2016,"13,013","12,362",651,5.6,4.9,4.2,3.5,3,8558,8468,8403,8373,8359,47313,48367,49623,50327,50816,,,
CN1319700000000,13,197,"Marion County, GA",2016,"3,437","3,182",255,8.5,7.3,6,5.2,4.2,21173,21074,21021,21094,21167,47313,48367,49623,50327,50816,,,
CN1319900000000,13,199,"Meriwether County, GA",2016,"8,912","8,303",609,8,6.9,5.9,5,4.5,5848,5874,5813,5684,5718,47313,48367,49623,50327,50816,,,
CN1320100000000,13,201,"Miller County, GA",2016,"2,768","2,617",151,5.5,5.4,4.4,3.7,3.3,22449,22455,22317,22135,21863,47313,48367,49623,50327,50816,,,
CN1320500000000,13,205,"Mitchell County, GA",2016,"8,588","8,019",569,6.8,6.6,6.2,5.4,4.6,26708,26905,27163,27503,27578,47313,48367,49623,50327,50816,,,
CN1320700000000,13,207,"Monroe County, GA",2016,"12,889","12,214",675,5.8,5.2,4.4,3.6,3.2,8942,8985,9024,9168,9172,47313,48367,49623,50327,50816,,,
CN1320900000000,13,209,"Montgomery County, GA",2016,"3,661","3,384",277,8.7,7.4,6.5,5.7,5.3,17948,18107,18373,18831,19276,47313,48367,49623,50327,50816,,,
CN1321100000000,13,211,"Morgan County, GA",2016,"8,741","8,302",439,5.5,5,4.5,3.6,3.1,39430,39347,39803,39943,40096,47313,48367,49623,50327,50816,,,
CN1321300000000,13,213,"Murray County, GA",2016,"16,328","15,209","1,119",7.4,7.1,6.1,5.3,5,198702,196219,193836,194169,195769,47313,48367,49623,50327,50816,,,
CN1321500000000,13,215,"Muscogee County, GA",2016,"78,724","73,317","5,407",7.5,6.8,5.9,5.1,4.5,104884,106499,107846,109421,111744,47313,48367,49623,50327,50816,,,
CN1321700000000,13,217,"Newton County, GA",2016,"49,904","46,930","2,974",6.8,6,5.3,4.5,3.9,35853,36929,38122,39478,40280,47313,48367,49623,50327,50816,,,
CN1321900000000,13,219,"Oconee County, GA",2016,"18,177","17,427",750,4.4,4.1,3.5,2.9,2.5,14732,14712,14874,15080,15259,47313,48367,49623,50327,50816,,,
CN1322100000000,13,221,"Oglethorpe County, GA",2016,"6,948","6,608",340,5.6,4.9,4.3,3.7,3.2,151649,155246,159509,164053,168667,47313,48367,49623,50327,50816,,,
CN1322300000000,13,223,"Paulding County, GA",2016,"78,820","75,178","3,642",5.2,4.6,4.1,3.4,2.9,26970,26885,26961,27363,27546,47313,48367,49623,50327,50816,,,
CN1322500000000,13,225,"Peach County, GA",2016,"11,556","10,753",803,8,7,5.8,5.2,4.1,30136,30652,31541,32014,32591,47313,48367,49623,50327,50816,,,
CN1322700000000,13,227,"Pickens County, GA",2016,"14,344","13,644",700,5.3,4.9,4.2,3.5,3,19094,19104,19197,19388,19465,47313,48367,49623,50327,50816,,,
CN1322900000000,13,229,"Pierce County, GA",2016,"8,369","7,916",453,6.3,5.3,4.5,3.8,3.4,17925,17897,18204,18647,18962,47313,48367,49623,50327,50816,,,
CN1323100000000,13,231,"Pike County, GA",2016,"8,507","8,067",440,5.7,5.2,4.4,3.6,3,41207,41555,41818,42346,42613,47313,48367,49623,50327,50816,,,
CN1323300000000,13,233,"Polk County, GA",2016,"18,154","17,047","1,107",6.7,6.1,5.2,4.2,3.6,11395,11288,11181,11080,11137,47313,48367,49623,50327,50816,,,
CN1323500000000,13,235,"Pulaski County, GA",2016,"4,126","3,883",243,6.6,5.9,5.2,4.4,3.8,21307,21515,21692,21820,22119,47313,48367,49623,50327,50816,,,
CN1323700000000,13,237,"Putnam County, GA",2016,"7,930","7,371",559,8.1,7,5.7,5,4.3,2275,2320,2333,2260,2299,47313,48367,49623,50327,50816,,,
CN1323900000000,13,239,"Quitman County, GA",2016,801,742,59,6.9,7.3,5.9,5.6,5,16223,16465,16545,16857,17137,47313,48367,49623,50327,50816,,,
CN1324100000000,13,241,"Rabun County, GA",2016,"6,669","6,275",394,6.7,5.9,4.9,4,3.5,7150,7155,6969,6812,6778,47313,48367,49623,50327,50816,,,
CN1324300000000,13,243,"Randolph County, GA",2016,"2,472","2,262",210,9.1,8.4,6.5,5.6,4.8,201451,201949,201673,201667,202518,47313,48367,49623,50327,50816,,,
CN1324500000000,13,245,"Richmond County, GA",2016,"85,856","80,116","5,740",7.4,6.8,5.9,5.2,4.5,88354,88987,89843,90505,90896,47313,48367,49623,50327,50816,,,
CN1324700000000,13,247,"Rockdale County, GA",2016,"43,537","41,038","2,499",6.6,5.8,5.3,4.4,3.8,5209,5173,5235,5230,5257,47313,48367,49623,50327,50816,,,
CN1324900000000,13,249,"Schley County, GA",2016,"2,100","1,965",135,6.7,6.3,5.4,4.6,3.9,14059,14003,13956,13960,13966,47313,48367,49623,50327,50816,,,
CN1325100000000,13,251,"Screven County, GA",2016,"5,245","4,846",399,8.3,7.5,6.2,5.4,5.4,8565,8427,8253,8270,8090,47313,48367,49623,50327,50816,,,
CN1325300000000,13,253,"Seminole County, GA",2016,"3,126","2,879",247,8.1,7.9,6.4,5.3,4.4,63818,64546,65358,66107,66703,47313,48367,49623,50327,50816,,,
CN1325500000000,13,255,"Spalding County, GA",2016,"27,810","25,908","1,902",8.1,6.9,5.8,4.7,4,25446,25637,25736,26007,25925,47313,48367,49623,50327,50816,,,
CN1325700000000,13,257,"Stephens County, GA",2016,"11,110","10,456",654,6.6,5.9,5.2,4.6,3.9,5973,6122,6314,6435,6621,47313,48367,49623,50327,50816,,,
CN1325900000000,13,259,"Stewart County, GA",2016,"2,142","2,000",142,6.9,6.4,5.9,4.8,4.2,30696,30403,29901,29796,29524,47313,48367,49623,50327,50816,,,
CN1326100000000,13,261,"Sumter County, GA",2016,"12,730","11,749",981,8.4,7.6,6.7,5.9,4.8,6498,6366,6256,6290,6195,47313,48367,49623,50327,50816,,,
CN1326300000000,13,263,"Talbot County, GA",2016,"2,756","2,570",186,7.7,6.7,6.1,5,4.5,1642,1611,1613,1612,1537,47313,48367,49623,50327,50816,,,
CN1326500000000,13,265,"Taliaferro County, GA",2016,599,560,39,7.8,6.9,6.6,5.3,4.9,25387,25342,25409,25485,25286,47313,48367,49623,50327,50816,,,
CN1326700000000,13,267,"Tattnall County, GA",2016,"9,374","8,869",505,6.2,5.3,4.9,4.2,3.8,8243,8189,8110,8020,8020,47313,48367,49623,50327,50816,,,
CN1326900000000,13,269,"Taylor County, GA",2016,"3,523","3,270",253,9.2,7.5,8.6,6.5,4,16451,15962,15929,15974,15860,47313,48367,49623,50327,50816,,,
CN1327100000000,13,271,"Telfair County, GA",2016,"4,765","4,355",410,8.7,8.4,7.8,6.7,9.5,9013,8861,8695,8587,8531,47313,48367,49623,50327,50816,,,
CN1327300000000,13,273,"Terrell County, GA",2016,"3,675","3,434",241,7.5,6.5,6,6.7,5,44796,44950,44619,44334,44451,47313,48367,49623,50327,50816,,,
CN1327500000000,13,275,"Thomas County, GA",2016,"17,257","16,154","1,103",7.3,6.2,5.8,4.7,4,40536,40554,40431,40542,40644,47313,48367,49623,50327,50816,,,
CN1327700000000,13,277,"Tift County, GA",2016,"18,464","17,448","1,016",6.1,5.4,4.6,4,3.4,27150,27121,26859,26902,26830,47313,48367,49623,50327,50816,,,
CN1327900000000,13,279,"Toombs County, GA",2016,"11,738","10,817",921,8.8,7.8,6.5,5.8,4.9,11212,11419,11553,11866,12037,47313,48367,49623,50327,50816,,,
CN1328100000000,13,281,"Towns County, GA",2016,"4,142","3,864",278,7.9,6.8,6.5,5.6,4.8,6803,6710,6746,6813,6901,47313,48367,49623,50327,50816,,,
CN1328300000000,13,283,"Treutlen County, GA",2016,"2,742","2,528",214,8.5,7.7,6.7,5.8,5.3,69595,69939,70062,70078,69922,47313,48367,49623,50327,50816,,,
CN1328500000000,13,285,"Troup County, GA",2016,"36,588","34,710","1,878",6.1,5.1,4.4,3.7,3.2,7982,7944,7895,7908,7985,47313,48367,49623,50327,50816,,,
CN1328700000000,13,287,"Turner County, GA",2016,"3,232","3,018",214,6.8,6.5,5.6,5,3.8,8347,8249,8253,8174,8120,47313,48367,49623,50327,50816,,,
CN1328900000000,13,289,"Twiggs County, GA",2016,"3,013","2,752",261,9.1,8.7,7.5,5.9,5.4,22007,22640,23376,23905,24511,47313,48367,49623,50327,50816,,,
CN1329100000000,13,291,"Union County, GA",2016,"10,333","9,844",489,5.4,4.7,4.5,3.7,3.1,26231,26245,26201,26185,26320,47313,48367,49623,50327,50816,,,
CN1329300000000,13,293,"Upson County, GA",2016,"11,175","10,454",721,7.3,6.4,5.4,4.4,3.6,68537,68455,68999,69443,69761,47313,48367,49623,50327,50816,,,
CN1329500000000,13,295,"Walker County, GA",2016,"30,209","28,525","1,684",6,5.6,4.5,3.8,3.6,88333,89786,91296,93202,94593,47313,48367,49623,50327,50816,,,
CN1329700000000,13,297,"Walton County, GA",2016,"43,061","40,957","2,104",5.4,4.9,4.3,3.6,3.1,35327,35648,35668,35587,35734,47313,48367,49623,50327,50816,,,
CN1329900000000,13,299,"Ware County, GA",2016,"15,034","14,205",829,6.5,5.4,4.5,3.9,3.7,5374,5345,5265,5247,5254,47313,48367,49623,50327,50816,,,
CN1330100000000,13,301,"Warren County, GA",2016,"2,701","2,513",188,7.8,6.9,5.8,4.9,4.5,20736,20347,20311,20410,20374,47313,48367,49623,50327,50816,,,
CN1330300000000,13,303,"Washington County, GA",2016,"7,203","6,740",463,7,6.3,5.8,5,4.1,29430,29974,29797,29810,29927,47313,48367,49623,50327,50816,,,
CN1330500000000,13,305,"Wayne County, GA",2016,"11,469","10,703",766,7.3,6.8,5.7,4.6,4,2631,2616,2589,2606,2607,47313,48367,49623,50327,50816,,,
CN1330700000000,13,307,"Webster County, GA",2016,963,878,85,9.4,8.6,7.5,6.2,5,7911,8015,7960,7898,7855,47313,48367,49623,50327,50816,,,
CN1330900000000,13,309,"Wheeler County, GA",2016,"1,718","1,562",156,10.9,9,8.9,7.3,7.5,28387,28828,29445,29988,30798,47313,48367,49623,50327,50816,,,
CN1331100000000,13,311,"White County, GA",2016,"14,467","13,801",666,5.2,4.6,3.8,3,2.6,103669,104406,104234,104249,104628,47313,48367,49623,50327,50816,,,
CN1331300000000,13,313,"Whitfield County, GA",2016,"46,293","43,552","2,741",6.4,6.1,5.4,4.8,4.4,9024,8841,8791,8827,8635,47313,48367,49623,50327,50816,,,
CN1331500000000,13,315,"Wilcox County, GA",2016,"2,840","2,640",200,7.9,7.2,5.8,5.2,4.5,9911,9809,9860,9864,9777,47313,48367,49623,50327,50816,,,
CN1331700000000,13,317,"Wilkes County, GA",2016,"3,954","3,706",248,7.3,6.6,5.6,4.6,4.5,9080,9020,8954,9043,8954,47313,48367,49623,50327,50816,,,
CN1331900000000,13,319,"Wilkinson County, GA",2016,"3,674","3,443",231,7.4,6.3,5.6,4.4,3.8,20688,20703,20528,20302,20247,47313,48367,49623,50327,50816,,,
CN1332100000000,13,321,"Worth County, GA",2016,"9,008","8,474",534,6.5,5.8,4.8,4.4,3.9,195975,198316,199981,201509,201513,47313,48367,49623,50327,50816,,,
CN1500100000000,15,1,"Hawaii County, HI",2016,"90,445","87,013","3,432",4.3,3.6,2.8,3,3.4,991064,992268,986353,979858,974563,54277,55273,56667,58181,58981,,,
CN1500300000000,15,3,"Honolulu County/city, HI",2016,"473,947","460,590","13,357",3.4,2.8,2.3,2.4,2.6,88,88,86,86,86,54277,55273,56667,58181,58981,,,
CN1500700000000,15,7,"Kauai County, HI",2016,"35,531","34,350","1,181",3.9,3.1,2.4,2.5,2.7,71021,71537,71827,72168,72293,54277,55273,56667,58181,58981,,,
CN1500900000000,15,9,"Maui County, HI",2016,"85,457","82,738","2,719",3.6,3,2.6,2.4,2.6,163904,165350,166146,166972,167417,54277,55273,56667,58181,58981,,,
CN1600100000000,16,1,"Ada County, ID",2016,"225,083","217,596","7,487",3.6,3.3,2.8,2.5,2.5,432862,444486,456548,468764,481587,38216,38954,39482,40274,40566,,,
CN1600300000000,16,3,"Adams County, ID",2016,"1,744","1,620",124,7.5,6.9,5.8,5.5,6.8,3891,3941,4127,4234,4294,38216,38954,39482,40274,40566,,,
CN1600500000000,16,5,"Bannock County, ID",2016,"42,300","40,817","1,483",3.9,3.6,3.1,2.8,2.8,84184,84676,85482,86674,87808,38216,38954,39482,40274,40566,,,
CN1600700000000,16,7,"Bear Lake County, ID",2016,"2,827","2,697",130,4.4,4.6,3.2,2.9,2.9,5879,5927,6023,6044,6125,38216,38954,39482,40274,40566,,,
CN1600900000000,16,9,"Benewah County, ID",2016,"4,036","3,785",251,6.4,5.9,5.6,4.7,5.2,8996,9021,9157,9218,9298,38216,38954,39482,40274,40566,,,
CN1601100000000,16,11,"Bingham County, ID",2016,"22,748","21,932",816,4,3.5,3,2.8,2.7,45057,45315,45884,46129,46811,38216,38954,39482,40274,40566,,,
CN1601300000000,16,13,"Blaine County, ID",2016,"11,797","11,419",378,3.5,3.2,2.6,2.4,2.6,21636,22062,22373,22771,23021,38216,38954,39482,40274,40566,,,
CN1601500000000,16,15,"Boise County, ID",2016,"3,139","2,966",173,6.2,5.3,4.8,4.3,4.3,6963,7095,7347,7655,7831,38216,38954,39482,40274,40566,,,
CN1601700000000,16,17,"Bonner County, ID",2016,"18,820","17,791","1,029",5.8,5.4,4.5,4.2,4.2,41600,42357,43654,44705,45739,38216,38954,39482,40274,40566,,,
CN1601900000000,16,19,"Bonneville County, ID",2016,"52,175","50,500","1,675",3.4,3.2,2.7,2.5,2.4,109849,112118,114488,116444,119062,38216,38954,39482,40274,40566,,,
CN1602100000000,16,21,"Boundary County, ID",2016,"5,080","4,810",270,5.4,5.2,4.8,4.5,4.4,11299,11701,11965,12016,12245,38216,38954,39482,40274,40566,,,
CN1602300000000,16,23,"Butte County, ID",2016,"1,306","1,252",54,4.5,4.1,3,3.3,2.6,2566,2572,2585,2587,2597,38216,38954,39482,40274,40566,,,
CN1602500000000,16,25,"Camas County, ID",2016,657,632,25,3.4,3.6,2.8,2.3,2.7,1070,1082,1096,1121,1106,38216,38954,39482,40274,40566,,,
CN1602700000000,16,27,"Canyon County, ID",2016,"93,761","89,654","4,107",4.9,4.4,3.6,3.2,3.2,206842,211381,216858,223236,229849,38216,38954,39482,40274,40566,,,
CN1602900000000,16,29,"Caribou County, ID",2016,"3,753","3,615",138,4,3.6,3.2,2.8,2.7,6733,6867,6973,7037,7155,38216,38954,39482,40274,40566,,,
CN1603100000000,16,31,"Cassia County, ID",2016,"11,601","11,249",352,3.3,3,2.5,2.3,2.4,23499,23479,23650,23791,24030,38216,38954,39482,40274,40566,,,
CN1603300000000,16,33,"Clark County, ID",2016,399,385,14,3.5,3.3,2.8,2.9,3.7,886,870,879,851,845,38216,38954,39482,40274,40566,,,
CN1603500000000,16,35,"Clearwater County, ID",2016,"3,063","2,834",229,7.9,7.3,7,6.9,6.8,8554,8651,8646,8758,8756,38216,38954,39482,40274,40566,,,
CN1603700000000,16,37,"Custer County, ID",2016,"2,139","2,027",112,6.5,5.1,4.3,4.2,4.2,4059,4084,4135,4250,4315,38216,38954,39482,40274,40566,,,
CN1603900000000,16,39,"Elmore County, ID",2016,"10,878","10,416",462,4.6,4.1,3.7,3.3,3.3,25826,26137,26881,27362,27511,38216,38954,39482,40274,40566,,,
CN1604100000000,16,41,"Franklin County, ID",2016,"6,569","6,365",204,3.1,3.1,2.3,2.2,2.3,12955,13320,13467,13704,13876,38216,38954,39482,40274,40566,,,
CN1604300000000,16,43,"Fremont County, ID",2016,"7,392","7,142",250,3.6,3.4,2.7,2.5,2.3,12812,12914,13122,13155,13099,38216,38954,39482,40274,40566,,,
CN1604500000000,16,45,"Gem County, ID",2016,"7,741","7,376",365,5.2,4.7,4,3.5,3.3,16685,16959,17311,17587,18112,38216,38954,39482,40274,40566,,,
CN1604700000000,16,47,"Gooding County, ID",2016,"8,003","7,751",252,3.4,3.1,2.5,2.4,2.6,15188,15135,15121,15116,15179,38216,38954,39482,40274,40566,,,
CN1604900000000,16,49,"Idaho County, ID",2016,"6,425","6,057",368,6.1,5.7,5,4.7,4.5,16301,16236,16373,16476,16667,38216,38954,39482,40274,40566,,,
CN1605100000000,16,51,"Jefferson County, ID",2016,"12,718","12,319",399,3.4,3.1,2.5,2.3,2.3,27127,27830,28439,29405,29871,38216,38954,39482,40274,40566,,,
CN1605300000000,16,53,"Jerome County, ID",2016,"11,581","11,220",361,3.2,3.1,2.8,2.6,2.6,22971,23433,23768,24066,24412,38216,38954,39482,40274,40566,,,
CN1605500000000,16,55,"Kootenai County, ID",2016,"73,499","69,998","3,501",5,4.7,3.9,3.6,3.6,149367,153019,157320,161209,165697,38216,38954,39482,40274,40566,,,
CN1605700000000,16,57,"Latah County, ID",2016,"19,801","19,151",650,3.4,3.2,2.7,2.5,2.7,38796,39050,39741,39829,40108,38216,38954,39482,40274,40566,,,
CN1605900000000,16,59,"Lemhi County, ID",2016,"3,396","3,182",214,6.9,6.1,5.2,4.5,4.8,7737,7709,7829,7932,8027,38216,38954,39482,40274,40566,,,
CN1606100000000,16,61,"Lewis County, ID",2016,"1,615","1,510",105,5.7,6.4,5.9,5.7,5.5,3791,3846,3884,3832,3838,38216,38954,39482,40274,40566,,,
CN1606300000000,16,63,"Lincoln County, ID",2016,"2,654","2,535",119,4.4,4.5,3.3,3.5,3.6,5307,5303,5376,5398,5366,38216,38954,39482,40274,40566,,,
CN1606500000000,16,65,"Madison County, ID",2016,"20,449","19,944",505,2.6,2.4,1.9,1.8,1.8,37989,38972,39370,39261,39907,38216,38954,39482,40274,40566,,,
CN1606700000000,16,67,"Minidoka County, ID",2016,"10,821","10,468",353,3.6,3.2,2.7,2.5,2.5,20430,20613,20722,20719,21039,38216,38954,39482,40274,40566,,,
CN1606900000000,16,69,"Nez Perce County, ID",2016,"20,884","20,184",700,3.6,3.3,2.9,2.8,2.8,39995,40136,40289,40256,40408,38216,38954,39482,40274,40566,,,
CN1607100000000,16,71,"Oneida County, ID",2016,"2,169","2,088",81,3.5,3.6,2.9,2.2,2.3,4248,4296,4389,4462,4531,38216,38954,39482,40274,40566,,,
